cuestionario;factor;zona;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_3;p7_3_1;p7_3_2;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p12_2;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_2;p24;p25;p25_1;p25_2;p25_3;p25_4;p26;p27;p27_1;p27_2;p27_3;p27_4;p27_5;p27_6;p27_7;p27_8;p27_9;p27_10;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
381;2.676.458.342;Urbana Corredor;Presencial en hogares;Femenino;Si;39;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Universitario;No;Trabajar;Empleado(a) doméstico;De lunes a domingo;;;;;;;;Con su pareja;Estrato 6;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;1;2;1;1;Automóvil;Entre 1500 y 1999 cc;;;Gasolina corriente;;2009;Otro municipio;Conductor;Siempre;2;60;;;;;;Comuna 22;Cali;Comuna 13;;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;El costo de compra;Tiempos de espera largos o inciertos;Congestión de tráfico;Esfuerzo físico agotador;Multitud de personas;;;;;;;;;3;3;3;3;3;3;3;3;3;Automóvil;;Es el medio de transporte que utiliza;;Empresas manufactureras;Bajo;Moto 2T;;Automóvil;;Costos altos;;Nada Importante;Nada Importante;No;No;No;No;Si;No;Si;No;;Entre el paradero y la casa;;;Avisó a alguna autoridad como la policia;;;Si;Mujer;No;33.637.547;-765.365.617;1.011.099.976;4.65
382;2.676.458.342;Urbana Corredor;Presencial en hogares;Femenino;Si;35;35 - 44 años;No;Si;Si;Si;Valle;Palmira;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Empleado(a) doméstico;Ningún día;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 6;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;1;2;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2025;Cali;Acompañante (pasajero o parrilero);Algunas veces;2;20;;;;;;Comuna 22;Cali;Comuna 13;;Uno;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;;;;;;;;;;3;3;3;3;3;3;3;3;3;Automóvil;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Taxi;;Campero/ Camioneta (SUV);;Inseguridad;;4;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;33.628.928;-765.368.611;1011;6.3
383;2.486.721.206;Urbana Corredor;Presencial en hogares;Masculino;Si;30;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Tecnológico;Si;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a domingo;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 5;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;Más de 3;3;Más de 3;2;Moto 2T;;125 cc;;Gasolina corriente;;2020;Cali;Conductor;Nunca;;40;;;;;;Comuna 19;Cali;Comuna 18;;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Nada me disgusta;Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Mio Cable;;Van/Camioneta con platón;;Otro. ¿Cuál?;Cansancio;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;34.079.661;-765.520.049;9.932.000.122;9.694
384;2.486.721.206;Urbana Corredor;Presencial en hogares;Masculino;Si;29;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Universitario;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 5;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;1;2;0;;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2013;Cali;Conductor;Algunas veces;1;20;;;;;;Comuna 19;Cali;Comuna 10;;Dos;Entre 1 y 3 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;Otra razón;Otro ¿Cuál?;;;;;;;;;;;Ninguna;3;3;Muy importante;4;Nada Importante;Nada Importante;Nada Importante;3;3;Automóvil;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Moderado;Mio Cable;;Otro;Vehículos eléctricos;Condiciones climáticas;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.079.242;-765.518.137;1006;9.439
385;2159.55;Urbana Corredor;Presencial en hogares;Masculino;Si;51;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;No sabe/ No responde;No;Tecnológico;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2018;Cali;Conductor;Siempre;1;40;;;;;;Comuna 19;Cali;Comuna 19;;Tres;Entre 1 y 3 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Multitud de personas;;;;;;;;;;;;Muy importante;Muy importante;4;4;3;3;3;4;4;Moto 2T;;Es el medio de transporte que utiliza;;Incineración de residuos;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;34.095.513;-76.545.514;985;28.571
386;2159.55;Urbana Corredor;Presencial en hogares;Masculino;Si;40;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Especialización;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a viernes;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Más de 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;1;2;0;;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2022;Cali;Conductor;Nunca;;25;;;;;;Comuna 19;Cali;Otros;San Nicolás;Dos;Entre 8 y 12 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;3;4;Automóvil;;Es el medio de transporte que utiliza;;Empresas manufactureras;Bajo;Mio Cable;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.096.539;-765.453.513;9.918.999.634;15.136
387;1.787.579.516;Urbana Corredor;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;Si;Nariño;Tumaco;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;Si;Trabajar y estudiar;Empleado en empresa, gobierno u organización;Sábado;Viernes;Domingo;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 6;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;1;1;2;1;Transporte público (MIO);;;;;;;;;;;;7;5;40;2;;Comuna 19;Cali;Otros;Comunero;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;Otro;;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Multitud de personas;;;;;;;;;;;;4;4;4;3;Muy importante;Nada Importante;4;4;3;Automóvil;;Otra razón ¿Cuál?;Presupuesto;Los vehículos que circulan en la ciudad;Alto;Camión pesado;;Transporte público colectivo busetas;;Inseguridad;;3;3;No;No;No;No;Si;No;Si;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;Si;Hombre;No;34.265.695;-765.486.548;9.937.000.122;10.997
388;2.676.458.342;Urbana Corredor;Presencial en hogares;Femenino;Si;56;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Especialización;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);Domingo;De lunes a domingo;;;;;;;Sola(o) con sus hijas o hijos;Estrato 6;Más de 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;3;4;2;1;Automóvil;Entre 2000 y 2499 cc;;;Gasolina corriente;;2020;Cali;Conductor;Algunas veces;2;80;;;;;;Comuna 22;Cali;Comuna 22;;Tres;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Multitud de personas;Tiempos de espera largos o inciertos;;;;;;;;;;;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Otro;Helicóptero;Costos asociados;;Otro;Nulo;Otro;Aviones;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;3;No;No;No;Si;No;No;Si;No;;En los paraderos o estaciones;;;Avisó a alguna autoridad como la policia;Otro;Ir a la policía a denunciar;Si;Mujer;No;33.632.017;-765.366.037;1017;6.633
389;2.486.721.206;Urbana Corredor;Presencial en hogares;Masculino;Si;58;55 - 64 años;No;Si;Si;Si;Cauca;El Tambo;;;Ninguna de las anteriores;Si;Universitario;Si;Otra actividad;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 5;Más de 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;3;4;0;;Automóvil;Entre 1500 y 1999 cc;;;Gasolina corriente;;2020;Cali;Conductor;Nunca;;60;;;;;;Comuna 19;Cali;Comuna 8;;Tres;Más de 12 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;El tiempo de espera;Tiempos de espera largos o inciertos;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;Tiempos de viaje largos o inciertos;Multitud de personas;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Transporte público (MIO);;Otra razón ¿Cuál?;No hay en Cali;Los vehículos que circulan en la ciudad;Alto;Automóvil;;Camión liviano;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;Si;No;No;No;No;No;No;No;;Mientras caminaba;;;No tomó ninguna acción;;;Si;Hombre;No;34.063.598;-765.520.938;1010.8;4.36
390;2.486.721.206;Urbana Corredor;Presencial en hogares;Masculino;Si;44;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Especialización;Si;Trabajar;Empleado(a) doméstico;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 5;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;2;2;0;;Automóvil;Entre 2000 y 2499 cc;;;Gasolina corriente;;Modelos anteriores a 2005;Cali;Conductor;Nunca;;60;;;;;;Comuna 19;Cali;Comuna 21;;Dos;Entre 4 y 7 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;La falta de autonomía o control sobre el viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;3;3;Muy importante;2;Muy importante;3;2;3;Muy importante;Campero/ Camioneta (SUV);;Costos asociados;;Otro;Bajo;Mio Cable;;Automóvil;;Inseguridad;;Nada Importante;2;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;;;;;;;;No;Hombre;No;34.067.292;-765.519.877;1005.1;4.866
391;2.486.721.206;Urbana Corredor;Presencial en hogares;Masculino;Si;48;45 - 54 años;No;Si;Si;Si;Antioquia;San Luis;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a domingo;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 5;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;2;3;0;;Automóvil;Entre 1500 y 1999 cc;;;Gasolina corriente;;2019;Cali;Conductor;Siempre;2;10;;;;;;Comuna 19;Cali;Comuna 9;;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;La percepción de seguridad;;;;;Nada me disgusta;Ser víctima de robo o atraco;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Otra razón ¿Cuál?;Seguridad;No sabe /no responde;Moderado;Mio Cable;;Automóvil;;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.061.527;-765.519.659;999.4;3.86
392;2.676.458.342;Urbana Corredor;Presencial en hogares;Femenino;Si;80;65 - 80 años;No;Si;Si;Si;Tolima;Guapo;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Técnico profesional;Si;Es pensionado(a);;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 6;Entre 100 y 300 mil pesos;Si;Un hombre de la familia que vive con usted;Dificultad para ver, aún utilizando lentes;;;Sí, auto y motocicleta;Si, auto;1;2;0;;Campero/ Camioneta (SUV);Entre 2000 y 2499 cc;;;Gasolina corriente;;2012;Cali;Acompañante (pasajero o parrilero);Siempre;3;60;;;;;;Comuna 19;Cali;Otros;Colombia;No salgo del hogar con frecuencia;Menos de 1 km;A realizar compras;;;Muy Satisfecho;Condiciones de salud propias o de un familiar;;;;;El tiempo de viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Otro;Bajo;Mio Cable;;Campero/ Camioneta (SUV);;Inseguridad;;Muy importante;Muy importante;No;No;No;No;Si;No;Si;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Mujer;No;3.409.698;-765.449.369;9.995.999.756;4.72
393;2159.55;Urbana Corredor;Presencial en hogares;Masculino;Si;37;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Universitario;Si;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a viernes;;;;;;;;Sola(o);Estrato 4;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;0;;0;;Bicicleta;;;;;;;;;;;30;;;;;;Comuna 19;Cali;Comuna 19;;Cuatro o más;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Esfuerzo físico agotador;Multitud de personas;Congestión de tráfico;Tiempos de viaje largos o inciertos;Tiempos de espera largos o inciertos;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Empresas manufactureras;Moderado;Mio Cable;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;2;Nada Importante;No;No;No;No;No;No;Si;No;;Mientras caminaba;;;Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus);;;Si;Hombre;No;34.096.256;-765.449.774;999.5;4.72
394;2.868.380.197;Urbana Corredor;Presencial en hogares;Masculino;Si;49;45 - 54 años;No;Si;Si;Si;Córdoba;Lorica;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;Si;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si, auto;1;2;0;;Automóvil;Entre 2000 y 2499 cc;;;Gasolina corriente;;2018;Cali;Conductor;Algunas veces;1;90;;;;;;Comuna 5;Cali;Comuna 20;;Dos;Entre 8 y 12 km;Ir a trabajar;;;Muy Satisfecho;La percepción de seguridad;;;;;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Empresas manufactureras;Bajo;Moto 2T;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.266.785;-765.485.478;1008;8.766
395;2.676.458.342;Urbana Corredor;Presencial en hogares;Femenino;Si;69;65 - 80 años;No;Si;Si;Si;Caldas;Pacora;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja, sus hijos y otros familiares;Estrato 6;Menos de 100 mil pesos;Si;Usted;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;10;5;30;1;;Comuna 22;Cali;Comuna 7;;Uno;Menos de 1 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Totalmente satisfecho;La comodidad (confort);;;;;El tiempo de viaje;Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Empresas manufactureras;Bajo;Automóvil;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;33.643.026;-76.536.602;1.013.099.976;4.2
396;1.787.579.516;Urbana Corredor;Presencial en hogares;Masculino;Si;35;35 - 44 años;No;Si;Si;No;;;Venezuela;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Tecnológico;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 6;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si, motocicleta;0;;0;;Automóvil;No sabe / No responde;;;No sabe/no responde;;No sabe / No responde - NO LEA;No sabe/no responde;Acompañante (pasajero o parrilero);Siempre;3;30;;;;;;Comuna 22;Cali;Comuna 13;;Uno;Más de 12 km;Ir a trabajar;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Otra razón ¿Cuál?;Poder adquisitivo;Otro;Moderado;Moto 2T;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.629.132;-765.367.583;1.009.799.988;5
397;1.787.579.516;Urbana Corredor;Presencial en hogares;Masculino;Si;19;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Estudiar;;;;;;;De lunes a viernes;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 6;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;2;1;Bicicleta;;;;;;;;;;;30;;;;;;Comuna 22;Cali;Comuna 13;;No salgo del hogar con frecuencia;Entre 8 y 12 km;Ir a estudiar;;;Totalmente satisfecho;Otro;;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;;;;;;;;;;2;3;Nada Importante;4;Muy importante;Muy importante;Nada Importante;Nada Importante;4;Automóvil;;No hay cobertura del modo de transporte;;Vertederos (basureros) y rellenos sanitarios;Nulo;Mio Cable;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;Si;No;Si;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;No;Hombre;No;33.701.296;-765.188.555;9.908.999.634;32.824
398;1.787.579.516;Urbana Corredor;Presencial en hogares;Masculino;Si;32;25 - 34 años;No;Si;Si;Si;Chocó;Copoma;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Patrón o empleador;De lunes a domingo;;;;;;;;Sola(o);Estrato 6;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;1;2;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2017;Cali;Conductor;Nunca;;15;;;;;;Comuna 19;Cali;Comuna 17;;Uno;Entre 8 y 12 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Otro ¿Cuál?;;;;;;;;;;;Porque era útil;Muy importante;Muy importante;Muy importante;Muy importante;2;Nada Importante;Nada Importante;4;3;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Automóvil;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;33.709.546;-765.197.076;991.5;11.493
399;2.586.719.062;Urbana Corredor;Presencial en hogares;Femenino;Si;65;65 - 80 años;No;Si;Si;Si;Valle;Versalles;;;Ninguna de las anteriores;No;Especialización;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;2;3;0;;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2015;Cali;Conductor;Algunas veces;3;20;;;;;;Comuna 19;Cali;Comuna 17;;Uno;Menos de 1 km;A realizar compras;;;Muy Satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Camión liviano;;Campero/ Camioneta (SUV);;Otro. ¿Cuál?;El tiempo;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;33.849.413;-765.337.738;9.992.999.878;25.65
400;3.206.701.964;Urbana Corredor;Presencial en hogares;Femenino;Si;43;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Básica primaria completa;No;Trabajar;Empleado(a) doméstico;De lunes a domingo;;;;;;;;Sola(o);Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2021;Cali;Acompañante (pasajero o parrilero);Siempre;2;15;;;;;;Comuna 2;Cali;Comuna 20;;Dos;Entre 4 y 7 km;Ir a trabajar;;;Satisfecho;La comodidad (confort);;;;;La vulnerabilidad frente accidentes de tránsito;Congestión de tráfico;;;;;;;;;;;;3;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Mio Cable;;Campero/ Camioneta (SUV);;Costos altos;;Nada Importante;Nada Importante;No;Si;Si;Si;Si;No;No;No;;En los paraderos o estaciones;;;No tomó ninguna acción;;;No;Mujer;No;34.198.205;-765.633.215;1.080.400.024;26.4
401;3.206.701.964;Urbana Corredor;Presencial en hogares;Femenino;Si;40;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;1;1;Transporte público (MIO);;;;;;;;;;;;15;30;60;15;;Comuna 5;Cali;Otros;Centro Comercial Unicentro;Uno;Entre 1 y 3 km;Ir a trabajar;;;Nada Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;;;;El tiempo de espera;Tiempos de viaje largos o inciertos;;;;;;;;;;;;4;3;4;Muy importante;4;4;2;4;3;Transporte público (MIO);;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;2;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.818.406;-764.977.583;9.837.999.878;20.007
402;3.206.701.964;Urbana Corredor;Presencial en hogares;Femenino;Si;20;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Indígena;No;Técnico profesional;No;Trabajar y estudiar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;1;1;1;1;Transporte público (MIO);;;;;;;;;;;;10;20;40;5;;Comuna 5;Cali;Otros;Barrio Belalcazar;Uno;Menos de 1 km;Ir a trabajar;;;Poco Satisfecho;La distancia que debe recorrer;;;;;Las condiciones de incomodidad;Costos altos;Multitud de personas;;;;;;;;;;;Muy importante;Muy importante;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Nivel de siniestralidad vial;;Empresas manufactureras;Alto;Mio Cable;;Automóvil;;Inseguridad;;Nada Importante;2;No;No;No;No;Si;No;No;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;No;Mujer;No;34.817.655;-764.977.628;9.842.000.122;26.382
